Temperature,Rain,Snow,TimeStamp
26.1,0,0,1690338900
26.1,0,0,1690338960
26.1,0,0,1690339020
26.1,0,0,1690339080
26.1,0,0,1690339140
26.1,0,0,1690339200
26.1,0,0,1690339260
26.1,0,0,1690339320
26.1,0,0,1690339380
26.1,0,0,1690339440
26.2,0,0,1690339500
26.2,0,0,1690339560
26.2,0,0,1690339620
26.2,0,0,1690339680
26.2,0,0,1690339740
26.2,0,0,1690339800
26.2,0,0,1690339860
26.2,0,0,1690339920
26.2,0,0,1690339980
26.2,0,0,1690340040
26.2,0,0,1690340100
26.2,0,0,1690340160
26.2,0,0,1690340220
26.2,0,0,1690340280
26.2,0,0,1690340340
26.2,0,0,1690340400
26.2,0,0,1690340460
26.2,0,0,1690340520
26.2,0,0,1690340580
26.1,0,0,1690340640
26.1,0,0,1690340700
26.1,0,0,1690340760
26.1,0,0,1690340820
26.0,0,0,1690340880
26.0,0,0,1690340940
26.0,0,0,1690341000
26.0,0,0,1690341060
25.9,0,0,1690341120
25.9,0,0,1690341180
25.9,0,0,1690341240
25.9,0,0,1690341300
25.8,0,0,1690341360
25.8,0,0,1690341420
25.8,0,0,1690341480
25.8,0,0,1690341540
25.8,0,0,1690341600
25.7,0,0,1690341660
25.7,0,0,1690341720
25.7,0,0,1690341780
25.7,0,0,1690341840
25.6,0,0,1690341900
25.6,0,0,1690341960
25.6,0,0,1690342020
25.6,0,0,1690342080
25.5,0,0,1690342140
25.5,0,0,1690342200
25.5,0,0,1690342260
25.5,0,0,1690342320
25.4,0,0,1690342380
25.4,0,0,1690342440
